custid,retained,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,train,favday,city
MDRSH9,1,02/07/09,18/11/10,25/11/13,53,7.547169811,1.886792453,49.22,0.006346328,0,0,0,0,Wednesday,CHO
QRMMJL,1,03/05/10,03/05/10,03/05/10,16,0,0,52.24,0,0,0,0,0,Tuesday,CHO
BETC2J,0,07/02/11,26/04/11,13/07/11,0,0,0,78.72,0.205128205,0,0,0,0,Wednesday,CHO
A3MQSQ,1,23/03/11,31/03/11,12/03/13,31,80.64516129,0,74.1,0.007022472,0,0,0,0,Friday,RIC
2K385V,1,26/08/10,15/11/11,15/11/11,40,45,5,57.9,0,0,0,0,0,Friday,RIC
TK2DRL,0,13/09/10,14/09/10,14/09/10,0,0,0,50.11,0,0,0,0,0,Tuesday,CHO
GM4R96,1,29/09/10,03/10/10,15/01/14,50,0,0,101.88,0.025,0,0,0,0,Monday,RIC
7YBLJP,1,05/03/11,14/04/13,14/04/13,44,2.272727273,0,75.34,0,0,0,0,0,Monday,CHO
4XTZBW,0,17/01/10,22/09/10,21/12/10,0,0,0,25.41,0.166666667,0,0,0,0,Thursday,CHO
2ZM8LV,1,07/02/11,10/04/11,30/08/12,47,2.127659574,0,51.87,0.007874016,0,0,0,0,Monday,CHO
4SXMB8,0,13/09/10,13/09/10,13/09/10,0,0,0,29.68,0,0,0,0,0,Tuesday,CHO
ATZ3SM,1,31/10/09,31/10/09,14/06/11,41,26.82926829,2.43902439,36.32,0.003384095,0,0,0,0,Tuesday,CHO
KBQYJS,1,06/12/10,06/12/10,06/12/10,33,66.66666667,3.03030303,50,0,0,0,0,0,Thursday,CHO
7CSZT9,1,26/05/10,28/02/11,20/12/12,34,91.17647059,8.823529412,71.09,0.009077156,0,0,0,0,Tuesday,CHO
EVNYY8,1,03/10/10,04/10/10,19/03/13,41,17.07317073,0,29.38,0.002229654,0,0,0,0,Monday,CHO
VYZNXG,0,21/01/11,11/04/11,09/08/12,3,66.66666667,0,36.73,0.049382716,0,0,0,0,Thursday,RIC
V9M9KQ,1,09/11/10,09/11/10,03/01/12,18,0,0,147.47,0.011904762,0,0,0,0,Wednesday,RIC
XSGC8S,1,16/03/09,16/03/09,16/03/09,16,0,0,7.14,0,0,0,0,0,Tuesday,CHO
ER8P5H,0,16/02/10,25/02/10,20/07/11,0,0,0,42.94,0.029411765,0,0,0,0,Thursday,CHO
RS3GR,0,27/04/11,22/07/11,06/09/11,0,0,0,15.44,0.065217391,0,0,0,0,Friday,RIC
4KVY8L,0,28/10/09,28/12/09,28/12/09,39,17.94871795,0,33.4,0,0,0,0,0,Tuesday,CHO
N644Y8,1,15/12/08,22/10/09,21/08/13,35,91.42857143,11.42857143,42.07,0.029306648,1,0,0,0,Thursday,CHO
QPHG7V,1,22/09/10,16/03/11,18/01/13,48,10.41666667,4.166666667,50.21,0.03115727,0,0,0,0,Thursday,RIC
2A5TBB,1,08/11/10,12/01/11,08/01/14,44,93.18181818,13.63636364,83.07,0.135531136,0,0,0,0,Tuesday,RIC
KXTV8T,1,22/06/10,19/07/11,20/08/12,43,23.25581395,0,84.67,0.015075377,1,0,0,0,Monday,CHO
KDLBAE,1,17/11/10,18/11/10,18/11/10,47,8.510638298,2.127659574,58.95,0,0,0,0,0,Thursday,CHO
YNP547,1,21/08/10,23/08/10,12/09/10,45,4.444444444,0,93.96,0.1,1,0,0,0,Tuesday,CHO
UGQ8VY,1,19/01/11,14/02/11,15/10/13,40,45,0,192.98,0.013347023,0,0,0,0,Tuesday,CHO
8XSJPQ,1,22/07/10,23/07/10,06/11/13,50,4,0,84.88,0.024126456,0,0,0,0,Friday,CHO
5R2GEU,1,01/04/11,04/04/11,23/05/11,45,8.888888889,0,41.51,0.040816327,0,0,0,0,Monday,CHO
5V4WH3,0,24/03/11,08/04/11,13/05/11,0,0,0,97.89,0.085714286,0,0,0,0,Friday,CHO
5FB2AP,1,15/09/10,15/09/10,15/09/10,44,2.272727273,0,19.56,0,0,0,0,0,Wednesday,CHO
SXPMV5,0,03/12/09,14/02/10,14/02/10,0,0,0,24.26,0,0,0,0,0,Monday,CHO
4ZDLEH,0,12/07/10,15/10/10,23/12/11,0,0,0,56.83,0.020737327,0,0,0,0,Friday,RIC
SMEWYP,0,11/04/11,11/04/11,11/04/11,0,0,0,72.4,0,1,0,0,0,Thursday,RIC
7RV4T3,0,29/09/10,04/10/10,10/07/12,0,0,0,135.55,0.007751938,1,0,0,0,Thursday,RIC
2YMN6P,0,21/05/10,21/05/10,21/05/10,0,0,0,42.6,0,0,0,0,0,Wednesday,CHO
7WGT48,1,11/08/10,01/03/11,07/10/13,40,42.5,7.5,27.86,0.045215563,1,0,0,0,Tuesday,RIC
849DDM,0,24/02/10,24/02/10,24/02/10,0,0,0,56.71,0,0,0,0,0,Wednesday,CHO
T8G2CY,1,19/05/10,08/01/12,08/01/12,16,0,0,81.99,0,0,0,0,0,Wednesday,CHO
VF2825,1,29/04/10,20/04/13,20/04/13,33,78.78787879,27.27272727,56.74,0,0,0,0,0,Tuesday,CHO
2PB5EX,1,04/10/10,05/10/10,05/10/10,31,67.74193548,3.225806452,100.6,0,0,0,0,0,Tuesday,CHO
LWDJWH,1,14/08/10,23/09/10,04/12/13,46,54.34782609,17.39130435,139.5,0.065068493,0,0,0,0,Thursday,CHO
VD9MT,1,07/04/11,07/04/11,11/11/13,48,10.41666667,10.41666667,70.89,0.008429926,0,0,0,0,Thursday,CHO
DXRE3R,0,20/08/09,09/07/10,25/03/12,0,0,0,48.23,0.016,0,0,0,0,Tuesday,CHO
DLADQM,0,24/03/11,10/05/11,11/06/13,1,100,0,271.65,0.049803408,0,0,0,0,Thursday,RIC
DBGXEK,1,19/04/10,16/06/10,28/12/11,45,22.22222222,0,137.78,0.042857143,0,0,0,0,Monday,CHO
9DXV6D,1,06/03/11,01/05/11,08/01/13,35,82.85714286,2.857142857,87.14,0.114886731,1,0,0,0,Monday,RIC
BYXX9C,1,13/10/10,13/10/10,13/10/10,16,0,0,70.56,0,0,0,0,0,Thursday,CHO
LM4EAF,0,06/10/10,30/08/11,30/08/11,0,0,0,35.88,0,0,0,0,0,Wednesday,CHO
ZLV5KR,1,24/08/10,16/03/11,23/03/11,18,0,0,50.87,0.571428571,0,0,0,0,Wednesday,CHO
H7SDYR,1,21/09/10,25/09/11,17/07/13,47,12.76595745,0,52.58,0.060514372,1,0,0,0,Thursday,CHO
9VQSDL,1,14/09/10,14/09/10,14/09/10,16,0,0,102.74,0,0,0,0,0,Tuesday,CHO
Q9JCF3,1,16/09/12,01/12/12,10/07/13,44,4.545454545,0,88.68,0.009049774,1,0,0,0,Monday,RIC
QJNZVM,1,28/04/13,28/04/13,13/01/14,53,11.32075472,7.547169811,117.77,0.1,0,0,1,0,Monday,RIC
QWKKEM,1,27/06/12,28/06/12,13/05/13,33,84.84848485,9.090909091,81.85,0.031347962,1,0,0,0,Monday,CHO
9XZABQ,1,12/10/12,12/10/12,10/02/13,45,6.666666667,6.666666667,72.04,0.041322314,1,0,0,0,Monday,RIC
JJQW6V,1,07/02/12,05/03/12,25/03/12,45,0,0,55.88,0.1,1,0,0,0,Tuesday,RIC
LM57QL,1,13/12/11,13/12/11,11/12/13,38,65.78947368,2.631578947,90.13,0.0260631,0,0,0,0,Monday,CHO
2WW6TW,1,28/08/12,24/07/12,13/01/14,43,53.48837209,16.27906977,77.94,0.068773234,1,0,0,0,Wednesday,RIC
4FFC8E,1,20/10/12,20/10/12,23/03/13,42,16.66666667,2.380952381,80.56,0.019480519,0,0,0,0,Tuesday,CHO
JNHEXN,0,28/08/12,16/10/12,16/10/12,0,0,0,42.28,0,1,0,0,0,Thursday,DCX
NTD6N7,0,06/07/13,06/07/13,21/07/13,0,0,0,53.94,0.2,1,0,0,0,Tuesday,DCX
LTUBS7,1,05/02/12,05/02/12,04/08/13,47,10.63829787,4.255319149,72.16,0.038461538,0,0,0,0,Monday,CHO
CCP7RR,1,17/10/11,30/10/11,05/01/14,41,92.68292683,31.70731707,80.31,0.010025063,0,0,0,0,Monday,RIC
BUFSQN,0,30/09/12,03/10/12,05/03/13,0,0,0,57.4,0.058823529,1,0,0,0,Thursday,CHO
RDTM8T,0,28/08/12,02/08/12,07/01/13,0,0,0,49.67,0.050632911,0,0,0,0,Sunday,DCX
NAL7E3,0,15/06/13,15/06/13,15/06/13,0,0,0,99.94,0,0,0,0,0,Saturday,DCX
DXBQJ8,1,03/01/13,17/06/13,17/06/13,35,71.42857143,22.85714286,99.71,0,1,1,0,0,Thursday,DCX
93U94U,1,24/05/12,24/05/12,19/02/13,48,0,0,63.27,0.014760148,0,0,0,0,Thursday,CHO
9ZKRX7,1,20/04/13,19/06/13,19/06/13,42,7.142857143,4.761904762,47.18,0,0,0,0,0,Monday,RIC
W7VEKT,1,19/05/13,19/05/13,18/12/13,51,9.803921569,5.882352941,57.08,0.014084507,0,0,0,0,Thursday,BWI
JGRA2J,1,31/08/12,17/09/12,25/01/13,45,0,0,58.25,0.023076923,0,0,0,0,Friday,RIC
Y2TX93,1,22/07/12,15/04/13,02/01/14,52,3.846153846,0,61.33,0.030534351,1,0,0,0,Friday,CHO
EPTR2K,1,05/02/13,13/02/13,13/02/13,45,0,0,67.47,0,0,0,0,0,Wednesday,RIC
E9TUBX,1,11/06/13,12/06/13,12/06/13,37,10.81081081,0,110.42,0,1,0,0,0,Thursday,DCX
JSYEHW,1,13/05/13,19/06/13,19/06/13,45,0,0,124.79,0,0,0,0,0,Friday,CHO
YBFGDC,1,28/08/12,29/08/12,26/12/13,31,70.96774194,38.70967742,92.09,0.092975207,1,0,0,0,Sunday,DCX
N9LGZX,1,01/12/12,15/12/12,14/01/14,53,1.886792453,0,63.23,0.032911392,0,0,0,0,Wednesday,DCX
Z3PZDY,1,18/05/13,12/08/13,14/01/14,47,48.93617021,14.89361702,73.11,0.058064516,1,0,0,0,Friday,RIC
9HSJXC,1,19/06/13,08/09/13,16/01/14,50,8,6,74.65,0.123076923,1,0,0,0,Tuesday,RIC
BH5TW7,0,01/12/12,30/12/12,28/04/13,0,0,0,40.87,0.075630252,0,0,0,0,Wednesday,DCX
PJTGNR,1,20/05/13,30/09/13,08/10/13,30,40,16.66666667,53.89,0.25,0,0,0,0,Wednesday,DCX
U2KV7Y,1,23/02/13,01/04/13,03/07/13,29,37.93103448,0,46.99,0.021505376,1,0,0,0,Sunday,DCX
MALWJ4,1,06/07/11,29/05/12,02/11/13,41,26.82926829,0,67.89,0.044061303,1,0,0,0,Tuesday,CHO
Q8D52U,0,26/06/13,08/07/13,16/07/13,2,100,0,34.51,0.25,1,0,0,0,Wednesday,DCX
QBYE9A,1,02/02/13,10/02/13,10/02/13,44,6.818181818,2.272727273,56.22,0,0,0,0,0,Monday,RIC
N59FDJ,1,29/03/13,19/05/13,04/08/13,43,9.302325581,2.325581395,46.16,0.038961039,1,0,0,0,Tuesday,CHO
HUK5TJ,1,28/03/13,03/04/13,03/04/13,43,11.62790698,0,51.49,0,0,0,0,0,Thursday,RIC
CWR8T6,1,03/05/13,29/05/13,29/05/13,45,0,0,17.97,0,0,0,0,0,Wednesday,DCX
838ZRD,1,02/06/13,02/06/13,30/06/13,34,88.23529412,0,65,0.071428571,1,0,0,0,Monday,DCX
WRE6K2,0,25/08/11,26/08/11,22/07/13,27,88.88888889,11.11111111,86.32,0.07183908,1,0,0,0,Friday,RIC
5FQ767,1,29/05/13,29/05/13,29/05/13,45,0,0,77.08,0,1,0,0,0,Tuesday,RIC
LMQQK9,1,11/05/13,20/10/13,16/12/13,39,74.35897436,7.692307692,113.08,0.035087719,1,0,0,0,Tuesday,RIC
KE26TZ,1,10/11/11,10/11/11,10/11/11,45,4.444444444,2.222222222,55.71,0,0,0,0,0,Tuesday,RIC
TRU2XV,1,26/10/11,26/10/11,11/06/13,49,8.163265306,0,42.41,0.037037037,0,0,0,0,Wednesday,RIC
P9EPEF,0,26/04/13,26/04/13,26/04/13,32,46.875,0,50.98,0,1,0,0,0,Tuesday,CHO
8KAJZN,1,09/06/13,18/06/13,18/06/13,43,9.302325581,0,54.37,0,1,0,0,0,Wednesday,RIC
7HJKNA,1,26/03/13,26/03/13,26/03/13,45,0,0,73.73,0,0,0,0,0,Wednesday,RIC
89N9BJ,1,28/08/12,26/07/12,16/08/12,36,0,0,40.49,0.142857143,0,0,0,0,Sunday,DCX
6MQM9W,1,02/04/12,02/04/12,22/04/12,45,8.888888889,8.888888889,21.75,0.1,0,0,0,0,Tuesday,RIC
PPZDB4,0,19/06/13,30/06/13,04/08/13,40,0,0,88.5,0.057142857,1,0,0,0,Monday,DCX
6ZVL66,0,20/12/11,22/12/11,14/01/13,0,0,0,104.25,0.005141388,0,0,0,0,Friday,CHO
M2A5UF,1,30/11/11,30/11/11,12/12/13,51,66.66666667,11.76470588,42.9,0.02960969,0,0,0,0,Friday,CHO
NFSLCQ,1,14/06/13,14/06/13,14/06/13,42,23.80952381,0,100.02,0,1,0,0,0,Thursday,DCX
BSLTDD,1,13/09/11,13/09/11,27/11/12,37,43.24324324,10.81081081,52.64,0.036281179,1,0,0,0,Tuesday,RIC
HKYEB4,1,28/08/12,20/07/12,23/10/12,38,0,0,50.41,0.052631579,0,0,0,0,Sunday,DCX
WMRXVA,1,20/04/13,24/04/13,10/07/13,47,23.40425532,6.382978723,44.64,0.077922078,0,0,0,0,Thursday,RIC
CXS9GP,1,12/02/13,21/02/13,20/01/14,66,39.39393939,12.12121212,43.13,0.126126126,0,0,0,0,Tuesday,RIC
J6CU9U,1,11/12/12,11/12/12,16/09/13,47,0,0,33.31,0.046594982,0,0,0,0,Tuesday,CHO
P85EAL,1,08/03/13,08/03/13,05/11/13,45,31.11111111,11.11111111,120.19,0.045454545,0,0,0,0,Wednesday,RIC
4P9RP7,1,28/08/12,26/07/12,13/05/13,48,0,0,47.89,0.020618557,0,0,0,0,Saturday,BWI
D6HK95,0,17/07/11,30/10/11,03/03/13,0,0,0,44.71,0.006122449,0,0,0,0,Monday,CHO
M76DYE,1,28/08/12,31/07/12,13/05/13,32,100,34.375,103.87,0.094405594,1,0,0,0,Wednesday,DCX
5X9BZT,1,18/04/12,24/02/13,22/12/13,45,48.88888889,4.444444444,108.27,0.006644518,1,0,0,0,Thursday,CHO
HACMFM,0,05/02/12,12/02/12,15/02/13,0,0,0,153.26,0.027100271,0,0,0,0,Monday,RIC
G59QNH,1,26/03/13,08/05/13,08/05/13,39,28.20512821,0,114.14,0,0,0,0,0,Thursday,RIC
RHQEAS,1,03/05/13,23/05/13,23/05/13,40,27.5,2.5,95.57,0,0,0,0,0,Friday,DCX
GHJFDW,1,26/01/12,11/06/12,17/11/13,51,5.882352941,1.960784314,88.58,0.030534351,1,0,0,0,Monday,RIC
W8K3YQ,1,21/09/12,04/03/13,19/01/14,47,36.17021277,2.127659574,178.99,0.021806854,0,0,0,0,Tuesday,CHO
VWFBF2,0,06/04/13,14/04/13,14/04/13,0,0,0,130.86,0,1,0,0,0,Monday,RIC
3ZHH44,1,12/02/13,12/02/13,20/03/13,44,6.818181818,4.545454545,149.83,0.083333333,1,0,0,0,Tuesday,CHO
FCEWNV,1,04/03/13,04/03/13,04/03/13,45,15.55555556,0,92.79,0,0,0,0,0,Tuesday,RIC
RZGMTV,1,22/03/13,25/03/13,10/04/13,41,19.51219512,2.43902439,193.06,0.125,0,0,0,0,Tuesday,CHO
T6U97Q,1,22/04/12,28/09/13,19/01/14,49,73.46938776,24.48979592,239.66,0.14159292,1,1,1,0,Monday,CHO
8MN866,0,22/05/13,18/11/13,18/11/13,6,16.66666667,0,56.71,0,0,0,0,0,Tuesday,RIC
6NWLDP,0,27/04/13,20/10/13,20/10/13,39,7.692307692,2.564102564,65.07,0,0,0,0,0,Saturday,DCX
NEVX7X,1,01/02/13,01/02/13,13/03/13,45,28.88888889,6.666666667,86.33,0.1,1,0,0,0,Thursday,CHO
5SZGMB,1,29/07/11,17/08/11,13/11/13,38,76.31578947,31.57894737,37.21,0.042735043,1,0,0,0,Thursday,RIC
M4FFL6,1,26/06/12,05/07/12,07/02/13,47,0,0,88.07,0.046082949,0,0,0,0,Friday,RIC
2F85SS,1,28/07/11,24/07/13,24/07/13,43,2.325581395,0,56.05,0,1,0,0,0,Thursday,RIC
6X23P6,1,06/08/12,13/08/12,10/03/13,42,26.19047619,11.9047619,81.17,0.023923445,0,0,0,0,Monday,CHO
VDYTMN,1,09/05/12,18/02/13,01/05/13,47,4.255319149,4.255319149,133.55,0.097222222,0,0,0,0,Thursday,RIC
8K7FDG,1,11/05/13,12/05/13,23/07/13,43,16.27906977,2.325581395,79.68,0.041666667,0,0,0,0,Wednesday,RIC
E9BM3E,1,01/07/13,02/07/13,02/07/13,20,30,0,54.99,0,1,0,0,0,Wednesday,DCX
3AHJFS,0,16/07/11,31/10/11,02/05/12,0,0,0,102.82,0.032608696,1,0,0,0,Tuesday,CHO
43S57T,1,05/09/11,15/09/11,19/03/13,44,2.272727273,2.272727273,141.33,0.005444646,1,0,0,0,Thursday,RIC
KJRS8D,1,04/02/13,04/02/13,04/02/13,45,17.77777778,4.444444444,60.69,0,0,0,0,0,Wednesday,DCX
QGUHP5,0,26/04/12,15/04/13,15/04/13,0,0,0,115.93,0,0,0,0,0,Tuesday,RIC
SG8YH5,1,27/09/12,10/01/13,08/03/13,45,0,0,247.54,0.035087719,1,0,0,0,Saturday,DCX
BLY74D,1,29/09/11,30/09/11,08/09/13,45,4.444444444,0,85.06,0.036671368,0,0,0,0,Monday,RIC
68NS83,1,31/05/13,12/06/13,12/06/13,45,0,0,50.63,0,1,0,0,0,Thursday,RIC
ALUF33,1,26/07/11,27/07/11,15/07/13,45,28.88888889,0,163.9,0.006954103,0,0,0,0,Thursday,CHO
B87VZ2,1,12/04/13,12/04/13,01/08/13,46,6.52173913,0,76.65,0.072072072,0,0,0,0,Monday,RIC
7GCFAW,1,28/08/12,20/07/12,20/06/13,37,21.62162162,2.702702703,136.74,0.026865672,0,0,0,0,Sunday,DCX
HK2T6Q,1,26/05/12,26/05/12,21/12/13,49,40.81632653,2.040816327,68.6,0.015679443,0,0,0,0,Wednesday,CHO
HWKDYB,1,01/07/11,09/08/11,10/09/13,34,82.35294118,29.41176471,66.04,0.031454784,0,0,0,0,Wednesday,CHO
JW7X2C,1,24/06/13,24/06/13,24/06/13,45,0,0,34.3,0,1,0,0,0,Tuesday,CHO
BDN5ET,0,08/08/12,13/08/12,07/05/13,0,0,0,91.86,0.119850187,1,0,0,0,Wednesday,CHO
LWEGHY,1,02/07/13,02/07/13,02/07/13,45,24.44444444,0,60.86,0,1,0,0,0,Wednesday,DCX
LZTK9P,0,19/06/13,11/07/13,11/07/13,0,0,0,120.09,0,1,0,0,0,Friday,DCX
ZWW78M,0,05/05/12,30/05/12,21/07/13,16,12.5,0,13.41,0.074340528,1,0,0,0,Friday,RIC
3ZSBTX,0,01/03/13,01/03/13,10/07/13,0,0,0,64.43,0.030534351,1,0,0,0,Sunday,DCX
GNMULL,1,16/06/13,17/07/13,04/08/13,45,2.222222222,0,46.8,0.166666667,1,0,0,0,Friday,RIC
Y6KPSF,1,25/10/11,14/04/12,19/12/13,51,13.7254902,1.960784314,93.66,0.042345277,1,0,0,0,Friday,CHO
BDXHRQ,1,04/06/11,08/06/11,08/06/11,44,11.36363636,0,96.55,0,0,0,0,0,Thursday,CHO
YPPAHS,0,28/08/12,20/07/12,23/08/12,0,0,0,49.75,0.058823529,0,0,0,0,Sunday,DCX
7N7G4H,1,28/08/12,20/11/13,20/11/13,46,10.86956522,4.347826087,153.08,0,0,0,0,0,Thursday,DCX
U8VK7V,1,23/05/13,05/06/13,26/10/13,48,27.08333333,6.25,91.48,0.048951049,1,0,0,0,Tuesday,DCX
V5N27L,1,21/06/11,26/03/12,30/12/12,46,13.04347826,6.52173913,62.84,0.021505376,0,0,0,0,Wednesday,CHO
